job_name,org_name,deadline,loc_name
Vietnam Financial and Accounting Officer,OXFAM,"Tue, 2012-05-15",HA NOI
Ao Dai Festival (ADF) Part-Time Assistant,FRIENDS OF HUE FOUNDATION,"Mon, 2012-04-30",THUA THIEN HUE
"Consultant for ""Development of a training program and conduct a training-of- trainers course on leadership skills  for women duty bearers (candidates, elected and appointed) in the administration in Quang Nam and Da Nang""",PAZ Y DESARROLLO (PYD),"Wed, 2012-05-02","HA NOI , DA NANG , QUANG NAM"
District Programme Officer,OXFAM,"Mon, 2012-05-07","BINH THUAN, NINH THUAN"
Public Health Specialist ,U.S. EMBASSY HANOI,"Mon, 2012-05-07",HA NOI
Project Accountant,CCHD,"Mon, 2012-05-07","QUANG TRI, CAN THO, KIEN GIANG, HA NAM"
Project Director,ABT ASSOCIATES INC.,"Tue, 2012-05-01","HA NOI, HO CHI MINH"
Local Consultant Ã¢â‚¬â€œ Architect,ABT ASSOCIATES INC.,"Tue, 2012-05-01",NA
Program Technical Officer; Program Assistant,ASIAN INSTITUTE OF TECHNOLOGY IN VIETNAM (AIT-VN),"Sun, 2012-05-20",NA
ADMINISTRATION AND GUESTS RELATIONS ASSISTANT,WORLD VISION,"Mon, 2012-05-07",HA NOI
"Deputy Director, Tuberculosis Program, Vietnam Country Program",PATH,"Tue, 2012-05-15",HA NOI
Consultancy for Development of Booklets Ã¢â‚¬Å“Reconciliator StoriesÃ¢â‚¬ï¿½ and Ã¢â‚¬Å“Manual on Establishment and Operation of Trusted AddressesÃ¢â‚¬ï¿½,PROJECT Ã‚â‚¬Å’FINANCIAL PLANNING CAPACITY TO REDUCE DOMESTIC VIOLENCE IN VIETNAMÃ‚â‚¬ï¿½,"Mon, 2012-04-30",HA NOI
National Consultant to Develop Financial and Economic Development Strategy,VIETNAM BAR FEDERATION (VBF),"Mon, 2012-05-07","HA NOI , VINH"
Consultant for Preparing Training and Capacity Building Manual in Vietnamese for Sensitization and Awareness raising for REDD+ among the grassroots forest stakeholder in Vietnam,RECOFTC Ã‚â‚¬â€œ THE CENTRE FOR PEOPLE AND FORESTS,"Tue, 2012-05-01",HA NOI
Consultants working with VVOB,VVOB,"Fri, 2012-05-04",THANH HOA
FINANCE OFFICER,THE FRENCH RED CROSS,"Fri, 2012-05-04",HA NOI
DEVELOPMENT FACILITATOR,WORLD VISION,"Fri, 2012-05-04",HA NOI
FINANCE OFFICER,POPULATION SERVICES INTERNATIONAL (PSI),"Wed, 2012-04-25",NA
02 Consultants for Two Missions: 1. Provision of Training in Individual Career Counselling Skills to Core Trainers in Nghe An and Quang Nam and 2. Review of Teaching and Learning Materials for Career Orientation. ,VVOB,"Fri, 2012-05-04",NA
Project Audit ,RAFH,"Mon, 2012-05-07",HA NOI
National Consultant to Developing an Inter-Agency Practical Guideline for Meaningful Child Participation during ChildrenÃ¢â‚¬â„¢s Events (CRWG),PLAN IN VIETNAM,"Thu, 2012-04-26",HA NOI
Operations and Procurement Manager,CHEMONICS INTERNATIONAL,"Mon, 2012-04-30",HA NOI
Human Resources Officer,OXFAM,"Sun, 2012-05-06",HA NOI
Project Manager cum Integration Officer,WWO,"Mon, 2012-04-30",HO CHI MINH
Administration and Guests Relations Assistant,WORLD VISION,"Mon, 2012-05-07",HA NOI
Programme Media and Communication Specialist,OXFAM,"Sun, 2012-05-06",HA NOI
 Programme Monitoring Evaluation and Learning Specialist,OXFAM,"Sun, 2012-05-06",HA NOI
Governance Programme Team Leader,OXFAM,"Sun, 2012-05-06",HA NOI
Independent Evaluator for Child Ã¢â‚¬â€œ Focused Project (April Ã¢â‚¬â€œ June 2012),SAVE THE CHILDREN,"Mon, 2012-04-23",HA NOI
Public Health Specialist,U.S. EMBASSY HANOI,"Mon, 2012-05-07",HA NOI
Senior Field Technician ,SNV,"Wed, 2012-04-25",HA NOI
Environmental Education Officer,ENV,"Sat, 2012-04-28",HA NOI
02 MSc Students to Undertake Research on the Topic: Ã¢â‚¬ËœHistorical Drivers of Forest/Land Use Change in the Provinces of Dac Nong and Quang NamÃ¢â‚¬â„¢,ICRAF,"Mon, 2012-04-30",HA NOI
Renewable Energy Advisor,SNV,"Fri, 2012-05-04",HA NOI
Internship ,FHI 360,"Wed, 2012-04-25",HA NOI
Consultant to Conduct TNA in Ninh Thuan in Mid May 2012,OXFAM,"Thu, 2012-05-03","BINH THUAN, NINH THUAN"
Project Assistant,WORLD VISION,"Thu, 2012-05-03",THANH HOA
 Team Leader; Monitoring and Evaluation Officer; Communications Officer; Finance and Grants Officer and Executive Assistant/Office Manager,THE ASIA FOUNDATION,"Sun, 2012-05-06",HA NOI
Trainer Consultant on Social works for Vietnam Red Cross,SRC,"Thu, 2012-05-10",HA NOI
"02 National Consultants to Support the Department of Public Administration Reform (the Ministry of Home Affairs) to Develop the Proposal ""Capacity Building for  Cadres and Public Officials Working on PAR for 2011-2015 Period""",MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Fri, 2012-04-27",HA NOI
International Consultant Needed for Planning Mission of Market Access for Rural Poor program (MARP),THE SWISS COOPERATION OFFICE FOR VIETNAM (SCO),"Sun, 2012-04-22",HA NOI
Deputy Chief of Party,CHEMONICS INTERNATIONAL,"Mon, 2012-04-30",HA NOI
Technical Oversight of Participatory Carbon Monitoring (PCM) for REDD+ in Vietnam,SNV,"Mon, 2012-04-30",HA NOI
Logistic and Administration Officer ,MDF INDOCHINA,"Fri, 2012-05-04",HA NOI
Deputy Chief of the Party ,SNV,"Fri, 2012-04-20",HA NOI
Project Manager- Renewable Energy,SNV,"Fri, 2012-04-20",HA NOI
Can Bo Du An thuoc Chuong Trinh Phat Trien Thuong Hieu San Pham Nong Nghiep,CONCETTI,"Wed, 2012-05-30",HA NOI
03 National Consultants to Support the Department of Public Administration Reform (the Ministry of Home Affairs),MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Fri, 2012-04-27",HA NOI
Head Interviewer and a Translator/ Interpreter ,WWO,"Tue, 2012-05-15",HO CHI MINH
Administrative Assistant,CHILDFUND VIETNAM,"Wed, 2012-04-25",HA NOI
Technical Analysis and Background Supplement for PFM Operatiomal Framework,SNV,"Mon, 2012-04-30",HA NOI
Senior Programme Officer,LIEN AID,"Sun, 2012-05-06",HA NOI
Project Assistant,PAZ Y DESARROLLO,"Tue, 2012-05-01",HA NOI
Administrator,WWO,"Mon, 2012-04-16",HO CHI MINH
Communications Specialist,CHEMONICS INTERNATIONAL,"Mon, 2012-04-30",HA NOI
Project Officer,CONCETTI,"Thu, 2012-05-31",HA NOI
Consultant for CONCETTI,CONCETTI,"Wed, 2012-05-30",HA NOI
Consulting Services for Socio Economic Baseline Survey in Nghe An ,SNV,"Tue, 2012-04-17",NGHE AN
"02  Local Individual Consultants to Support the Project to Carry Out Survey among Ethnic Minority on Ã¢â‚¬Å“Assessment of Knowledge, Attitude, Behaviour and Effective  of Prevention Activities after 6 Years of Project ImplementationÃ¢â‚¬ï¿½",VIETNAM HIV/AIDS PREVENTION PROJECT,"Mon, 2012-04-23",HA NOI
Project Officer/Assistant (consultant),WWF,"Fri, 2012-04-27",QUANG NAM
"Coordinator, Monitoring and Evaluation; Project Manager, HSBC and BMZ Mekong River Basin Projects",WWF,"Tue, 2012-05-08","HA NOI, VIENTIANE"
Communication and Public Awareness Officer,ENV,"Fri, 2012-04-27",HA NOI
Manager ,WORLD VISION,"Thu, 2012-05-03",THANH HOA
Accountant,DAI,"Mon, 2012-04-30",HA NOI
Long Term Expert Ã¢â‚¬â€œ Challenge Fund Experts Ã¢â‚¬â€œ Team Leaders and Fund Management Advisors,DAI,"Mon, 2012-04-30",HA NOI
Long Term Expert Ã¢â‚¬â€œ Fund Manager Ã¢â‚¬â€œ Vietnam Business Challenge Fund (VBCF),DAI,"Mon, 2012-04-30",HA NOI
Long Term Expert Ã¢â‚¬â€œ M&E Specialist Ã¢â‚¬â€œ Vietnam Business Challenge Fund (VBCF),DAI,"Mon, 2012-04-30",HA NOI
"Thong Bao Moi Thau: Xay Dung Sang Kien Giam Hai Phong Ngua HIV/AIDS tai Bac Kan, Hoa Binh va Tuyen Quang","THE AGRICULTURE, FARMERS AND RURAL AREAS SUPPORT PROJECT (FUNDED BY INTERNATIONAL FUND FOR AGRICULTURE DEVELOPMENT) IN TUYEN QUANG PROVINCE","Mon, 2012-04-16",TUYEN QUANG
Tu Van Trong Nuoc Ve Xay Dung Nang Luc Quan Ly Kinh Te Theo Dinh Huong Thi Truong,NA,"Fri, 2012-04-20",NA
Wildlife Crime Case Officer,ENV,"Fri, 2012-04-27",HA NOI
Forest Inventory Expert,FFI,"Mon, 2012-04-30",KON TUM
Consultant Required for HIV/AIDS Project Evaluation,UNION AID ABROAD APHEDA VIETNAM,"Thu, 2012-04-19",HA NOI
 International Consultant Needed for Planning Mission of Market Access for Rural Poor program (MARP),SDC,"Sun, 2012-04-15",BINH DINH
National Livestock Marketing Study Advisor,BINH DINH SUSTAINABLE RURAL LIVELIHOODS PROJECT,"Sun, 2012-04-22",HA NOI
Programme Officer ,CBM,"Sun, 2012-04-22",HA NOI
Human Resource Officer ,OXFAM,"Sun, 2012-05-06",HA NOI
Junior Project Assistant,SAVE THE CHILDREN,"Mon, 2012-04-16",HA NOI
"Financial Analyst and Project Administrative Officer, Vietnam Country Program",PATH,"Sun, 2012-04-22",HA NOI
"Expatriate Team Associate to Provide Technical Support to All Project Teams on Internal and External Communications, and to Assist the Country Program Leader and Other Staff with Program Development Activities",PATH,"Sun, 2012-04-22",NA
Myanmar Consultant/Program Manager Ã¢â‚¬â€œ Maternal and Child Health,PATH,"Sun, 2012-04-22",MYANMAR
Technical Assistance towards Improving Efficiency and Impact of Selected Equitized Enterprises in Cao Bang Province (Services),PROJECT VIE029,"Thu, 2012-05-03",CAO BANG
External Consultant Review and Improve the Operation & Management of Water Systems Supported by Caritas Switzerland in Quan Ba District,CARSW,"Fri, 2012-04-27",HA GIANG
Deputy Director/Program Leader,SNV,"Tue, 2012-04-24",HA NOI
Consultant to Evaluation of the Project,ROSA LUXEMBURG FOUNDATION,"Sat, 2012-05-05",HA NOI
Administrative Officer,CARE,"Sun, 2012-04-22",HA NOI
Clinical Research Assistant,PAANTHER,"Mon, 2012-04-30",HO CHI MINH
Technical Officer; ,FHI 360,"Wed, 2012-04-25","HA NOI, HO CHI MINH"
Programme Assistant,SECO,"Mon, 2012-04-30",HA NOI
MAP Local Project Coordinator ,THE ASIAN TURTLE PROGRAM,"Mon, 2012-04-30",QUANG NGAI
Independent Evaluator for Child Ã¢â‚¬â€œ Focused Project,SAVE THE CHILDREN,"Mon, 2012-04-16","CA MAU, HO CHI MINH , QUANG NINH"
Beef Production National Technical Advisor,BINH DINH SUSTAINABLE RURAL LIVELIHOODS PROJECT,"Fri, 2012-04-20",QUY NHON
National Rabbit Disease Control Advisor,BINH DINH SUSTAINABLE RURAL LIVELIHOODS PROJECT,"Tue, 2012-04-24",QUY NHON
Senior Accountant,SCDI,"Mon, 2012-04-30",HA NOI
Platform Coordinator,SCDI,"Mon, 2012-04-30",HA NOI
Advocacy Officer,SCDI,"Mon, 2012-04-30",HA NOI
Community Education Coordinator,SCDI,"Mon, 2012-04-30",HA NOI
Project Assistant,GIZ,"Fri, 2012-04-20",BAC LIEU
Project Support Officer,TOWARDS TRANSPARENCY (TT),"Fri, 2012-04-20",HA NOI
Administrative Intern,ENDA,"Sun, 2012-04-15",HO CHI MINH
Project Assistant ,GRET,"Wed, 2012-04-18",HA NOI
"Consultant for Ã¢â‚¬Å“Develop Program Indicator Monitoring Application"" and Consultant for Final evaluation of LABS project",PLAN IN VIETNAM,"Sun, 2012-04-15",HO CHI MINH
Research Consultant,EFD,"Fri, 2012-04-13",BAC LIEU
Project Assistant,GIZ,"Fri, 2012-04-20",HA NOI
Public Health Specialist,U.S. EMBASSY HANOI,"Thu, 2012-04-12",SOC TRANG
Gender Technical Assistance (TA) Consultancy,SOCTRANG SME PROJECT MANAGEMENT UNIT,"Mon, 2012-04-16",HA NOI
National Programme Officer ,IOM,"Fri, 2012-05-04",HA NOI
Marketing Assistant,REACH - HANOI OFFICE,"Mon, 2012-04-16",HA NOI
Trainer Consultant on Disability for Vietnam Red Cross,SRC,"Fri, 2012-04-20",HA NOI
Communications Consultant,IFC,"Mon, 2012-04-09",NA
Project Officer,HELVETAS IN VIETAM,"Fri, 2012-04-20",HOA BINH
Senior Personnel in Social Work,RTCCD,"Sun, 2012-04-15",HA NOI
Research Assistant,HAIVN,"Mon, 2012-04-09",HA NOI
MSc students ,ICRAF,"Tue, 2012-04-10","CAO BANG, BAC KAN"
Health Project Coordinator,CHILDFUND VIETNAM,"Fri, 2012-04-20",HA NOI
Internal Auditor ,VUSTA COMPONENT - THE GLOBAL FUND SUPPORTED PROJECT ON HIV/AIDS,"Wed, 2012-04-18",TUYEN QUANG
National Technical Assistant for Pro-poor Agribusiness Promotion Fund.,"THE AGRICULTURE, FARMERS AND RURAL AREAS SUPPORT PROJECT","Sun, 2012-04-15",HA NOI
Energy Technical Specialists,CHEMONICS INTERNATIONAL INC.,"Sun, 2012-04-15",HO CHI MINH
Project Manager cum Integration Officer; Deputy Director,WWO,"Mon, 2012-04-30",HA NOI
Regional Stakeholder Forum Facilitator,VECO,"Tue, 2012-04-10",NA
Chief of Party,CHEMONICS INTERNATIONAL,"Sun, 2012-04-15",HA NOI
Gender Advisor,OXFAM,"Tue, 2012-04-03",HA NOI
Programme Officers,PYD VIETNAM,"Thu, 2012-04-12",QUANG NAM
Project Intern,FRIENDS OF HUE FOUNDATION,"Fri, 2012-04-20",THUA THIEN HUE
01 Intern for Humanitarian Programme,OXFAM,"Sun, 2012-04-15",HA NOI
Project Assistant - Education,WORLD VISION,"Sun, 2012-04-15",YEN BAI
Senior Technical Officer; Technical Officer,FHI 360,"Sun, 2012-04-15",HA NOI
Senior Program Manager,POPULATION SERVICES INTERNATIONAL (PSI),"Sun, 2012-04-15",HA NOI
 IT officer,KOTO,"Sat, 2012-04-14",HA NOI
Monitoring and Evaluation Officer,SNV,"Mon, 2012-04-09",HA NOI
Finance Assistant,PEACE AND DEVELOPMENT VIETNAM (PYD),"Tue, 2012-04-10",HA NOI
"National Consultant for the Project: ""Civil Action for Socio-economic Inclusion in Sustainable Development for Northern Ethnic Minorities in Vietnam - CASI III Program""",CARE,"Sun, 2012-04-15",HA NOI
"Consultant for End of Project Evaluation Handicap International Regional HIV Project (Vietnam, Lao PDR and Cambodia) Ã¢â‚¬â€œ April-May 2012",HANDICAP INTERNATIONAL,"Mon, 2012-04-09",HA NOI
03 Short-Term Individual Consultants to Analyse the Data on HIV/AIDS and the HIV/AIDS Situation of Provinces,Ã‚â‚¬Å’VIETNAM HIV/AIDS PREVENTION PROJECTÃ‚â‚¬ï¿½ FUNDED BY THE WORLD BANK AND DFID,"Fri, 2012-04-06",HA NOI
04 Part-Time Consultants to Work with the Project Team to Develop and Produce the ProjectÃ¢â‚¬â„¢s Quarterly Newsletters,THE GLOBAL FUND SUPPORTED PROJECT ON HIV/AIDS Ã‚â‚¬â€œ VUSTA COMPONENT,"Tue, 2012-04-03","HA NOI, DA NANG"
QI Officers,POPULATION SERVICES INTERNATIONAL (PSI),"Thu, 2012-04-12",SOC TRANG
Technical Assistance (TA) for the Development of an Environmental Action Plan as Part of the 5 Year PSME Plan of SocTrang Province,SOCTRANG SME PROJECT MANAGEMENT UNIT,"Wed, 2012-04-04",SOC TRANG
02 Short Term Consultancies in Soc Trang Province: Environment and Gender,SOCTRANG SME PROJECT MANAGEMENT UNIT,"Thu, 2012-04-05",HA NOI
Consultant for Final Evaluation of the Project B-VNM-0905-0003 (SUDECOM),BREAD FOR THE WORLD,"Thu, 2012-04-19",HA NOI
Health Service Officer,PSI,"Sun, 2012-04-08",NA
Logistic Officer,SNV,"Fri, 2012-04-06",HA NOI
Social Manager,PROJECTS ABROAD VIETNAM,"Fri, 2012-04-13",HA NOI
Administration-Human Resources Officer,HABITAT FOR HUMANITY VIETNAM (HFHV),"Fri, 2012-04-20",HO CHI MINH
REQUEST FOR EXPRESSIONS OF INTEREST (AUDIT SERVICES),DEPARTMENT OF INVESTMENT SUPERVISION AND APPRAISAL/MPI,"Fri, 2012-04-20",HA NOI
Short term Service Contract (Office Assistant),MSH SCMS PROJECT,"Sun, 2012-04-15",HA NOI
Senior Secretary to the Director ,ILO,"Fri, 2012-03-30",HA NOI
Programme Officer in Statistics ,ILO,"Fri, 2012-03-30",HA NOI
Technical Advisor,WWF,"Sun, 2012-04-15",THUA THIEN HUE
Short-term Project Assistant,SAVE THE CHILDREN,"Mon, 2012-04-02",HO CHI MINH
Project Officer ,DEUTSCHE GESELLSCHAFT FÃƒÂ¼R INTERNATIONALE ZUSAMMENARBEIT (GIZ),"Fri, 2012-04-20",KIEN GIANG
QI Officer,POPULATION SERVICES INTERNATIONAL (PSI),"Tue, 2012-04-03",DONG THAP
Monitoring and Organisational Support for Irish Aid Funded Projects; Organisational Capacity Assessment and Development,IRISH AID,"Fri, 2012-04-13",HA NOI
Project Consultant on OSH,ENDA,"Wed, 2012-03-28",HO CHI MINH
Climate Change Working Group/ Disaster Management Working Group Coordinator,CARE,"Sun, 2012-04-15",HA NOI
National Consultant for Training on Project Proposal Writing and Fundraising Skills,GRET,"Fri, 2012-03-30",HA NOI
Individual Researchers or Research Agencies to Provide Qualitative Data Collection Services for Rapid Assessment of Barriers to the Use of Low Dead Space Needles among PWID in Vietnam in 2 Provinces Hanoi and Ho Chi Minh,PSI,"Mon, 2012-03-26",HA NOI
Part-Time Vietnamese Volunteer,MEET-BIS VIETNAM,"Sun, 2012-04-01",HA NOI
Consultant for Evaluation ,AECID OFFICE VIETNAM,"Fri, 2012-04-06",HA NOI
Consultant for  Final Evaluation of the Early Childhood Care and Development Ã¢â‚¬Å“MasterÃ¢â‚¬ï¿½ Project (Project phase from 2009 to 2011),PLAN IN VIETNAM,"Tue, 2012-03-27",HA NOI
Programme Officer Ã¢â‚¬â€œ Advocacy/Gender Programme,OXFAM,"Tue, 2012-04-03",HA NOI
 Junior Consultant for Health Financing and Policy Analyst,LUX-DEVELOPMENT,"Mon, 2012-04-09",HA NOI
02 National Consultants to Support Bac Ninh in researching and reforming the process of administrative procedures applied at state administrative agencies at different level of Bac Ninh province,MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Fri, 2012-03-30","HA NOI, BAC GIANG, BINH THUAN"
Field Program Officer ,ENV,"Fri, 2012-03-30",HA NOI
Road Safety Project Coordinator,SAVE THE CHILDREN,"Sat, 2012-03-31",HA NOI
Finance Intern,FEI,"Sun, 2012-03-25",HA NOI
Programme manager for a civil society project in Vietnam,WORLD VISION,"Sat, 2012-03-31",HO CHI MINH
National Coordinator - Economic Development,WORLD VISION,"Wed, 2012-04-04",HA NOI
DME and Capacity Building Cluster Officer,RTI INTERNATIONAL,"Sun, 2012-04-01","CAN THO , AN GIANG"
"Accountant, USAID Pathways Project ",CARE,"Fri, 2012-03-30",NA
National Consultant for project of Striving for Transformation through Empowered People (STEP) in Can Tho and An Giang,NA,"Wed, 2012-03-28",NA
04 National Consultants to Support the Department of Public Administration Reform - Ministry of Home Affairs ,MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Fri, 2012-03-30",HA NOI
06 National Consultants to Support in Reseaching Methodology and Approach for Organizing Professional Agencies at Provincipal and District Levels,MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Fri, 2012-03-30",HA NOI
Project Officer,CSEED,"Fri, 2012-04-06",HA NOI
REACH English Facilitator,REACH - HANOI OFFICE,"Tue, 2012-03-20",HA NOI
REACH Business to Youth Coordinator (temporarily),REACH - HANOI OFFICE,"Tue, 2012-03-20",HA NOI
Internship at VVAF Office,VVAF,"Tue, 2012-03-27",HA NOI
Request for Proposals from National Consulting Firms/Institutions to Support Da Nang City in Developing Software to Manage Results and Database of civil ServantsÃ¢â‚¬â„¢ Performance Based Evaluation,THE DEPARTMENT OF HOME AFFAIRS OF Ãƒï¿½ÃƒÂ  N<U+1EB5>NG CITY,"Fri, 2012-03-30",DA NANG
Project Officer for Craft Link Project,CRAFT LINK,"Mon, 2012-03-26",HA NOI
End of Project Evaluation Consultant,CARE,"Wed, 2012-03-28","CAN THO , AN GIANG"
National Consultancy for Carrying Out a Survey for Assessing and Mapping on Cardamom Resource and Production Base,IPADE VIETNAM,"Sat, 2012-03-31",LAO CAI
Consultant Assignment for the Development of a Training Manual Ã¢â‚¬Å“Lower Secondary School Principals with the Evaluation of StudentsÃ¢â‚¬â„¢ performanceÃ¢â‚¬ï¿½,VVOB,"Mon, 2012-03-26",HA NOI
Vacancies with Abt Associates,ABT ASSOCIATES INC.,"Sat, 2012-03-31",VINH LONG
"Field Program Officer, Literacy Instruction Program",ROOM TO READ,"Thu, 2012-03-29",HO CHI MINH
"Research Officer, Research, Monitoring and Evaluation",ROOM TO READ,"Thu, 2012-03-29",HA NOI
REACH Customer Sales & Marketing Facilitator,REACH,"Mon, 2012-03-19",HA NOI
Vacancies with Plan in Vietnam,PLAN IN VIETNAM,"Wed, 2012-03-21",HA NOI
Business Development Associate,OPERATION SMILE,"Sat, 2012-03-31",HO CHI MINH
Human Resource and Administrative Officer,ENDA,"Tue, 2012-03-20",HA NOI
01 National Conservation Expert for Project Preparation Ã¢â‚¬Å“Conservation of Critical Wetland Protected Areas and Linked LandscapesÃ¢â‚¬ï¿½,UNDP,"Mon, 2012-03-26",HA NOI
01 National Socio-Economic Expert for Project Preparation  Ã¢â‚¬Å“Conservation of Critical Wetland Protected Areas and Linked LandscapesÃ¢â‚¬ï¿½,UNDP,"Mon, 2012-03-26",NA
Invitation to Tender from Organizations within the Field of Energy Efficiency Research ,MEET-BIS VIETNAM,"Mon, 2012-03-26",HA NOI
Policy and Legislative Program Officer,ENV,"Fri, 2012-03-30",HA NOI
Capacity Building Coordinator,ACTIONAID,"Wed, 2012-03-28",HA NOI
Finance Coordinator - Compliance,ACTIONAID,"Wed, 2012-03-28",HA NOI
Finance Coordinator Ã¢â‚¬â€œ Programme,ACTIONAID,"Wed, 2012-03-28",HA NOI
International Partnership Development Coordinator,ACTIONAID,"Wed, 2012-03-28",HA NOI
Northern Office Programme Facilitator,ACTIONAID,"Wed, 2012-03-28",HA NOI
Consultant for Graphic and Illustration Design for the Set of Training Materials for Primary Prevention of Gender-Based-Violence in School Environment,PAZ Y DESARROLLO (PYD),"Fri, 2012-03-16",DA NANG
Consultant for CARE Vietnam Program Approach- Socially Marginalised Groups - In Depth Analysis of Underlying Causes of Vulnerability,CARE,"Wed, 2012-03-21",HA NOI
"02 National Consultants to Support the Department of Local Government (the Ministry of Home Affairs) to Review, Amend, Supplement and Finalize Professional Standards of Seven Titles of Public Officials at Commune Levell",MOHA PUBLIC ADMINISTRATION REFORM PROJECT,"Thu, 2012-03-29",NA
Communication and Public Awareness Supervisor,ENV,"Fri, 2012-03-30",HA NOI
Business Development Specialist ,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
Project Interpreter/Assistant,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
Project Administration,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
Project Accountants ,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
Procurement Consultant ,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
National Environmental Safeguards Specialist (NESS) ,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
National Forestry / Biodiversity Specialist,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
National Forestry / Biodiversity Specialist,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS Ã‚â‚¬â€œ VIET NAM COMPONENT,"Wed, 2012-03-28","HA NOI, QUANG NAM, QUANG TRI, THUA THIEN HUE"
Consultancies for Cultural and Linguistic Adaptation of an Online Gender-based Violence Prevention Game for Piloting,PAZ Y DESARROLLO (PYD),"Tue, 2012-03-20",HA NOI
Community Facilitator     ,FFI,"Tue, 2012-03-20",KON TUM
Specialist for Mid-term Assessment on Capacity of CIFPEN's Pool of Experts ,CHF VIETNAM,"Fri, 2012-03-23",HA NOI
Programme Specialist,UNODC,"Tue, 2012-03-27",HA NOI
Administrative Assistant/Translator ,GFD CONSULTING,"Fri, 2012-03-23",HA NOI
"Consultancy for Technical Assistance to Support in Phast Implementation in Two Communes Lao Cai city, Lao Cai Province",IPADE VIETNAM,"Thu, 2012-03-22",LAO CAI
Administrator / Cashier,VUFO-NGO RESOURCE CENTRE,"Thu, 2012-03-22",HA NOI
 Gender Training Consultant for Soc Trang SME Development Project,SOCTRANG SME PROJECT MANAGEMENT UNIT,"Thu, 2012-03-15",SOC TRANG
Coordinators for the Project Addressing TB Control and Lung Health Activities through Vietnam Lung Hospital,VIETNAM NATIONAL LUNG HOSPITAL,"Fri, 2012-03-30",HA NOI
Short-term Consultants for Assessment Mission ,CHILDFUND VIETNAM,"Wed, 2012-03-21",QUANG NAM
Consultancy for the Development of a Monitoring and Evaluating System for Socio-Economic Development Fund ,PAZ Y DESARROLLO (PYD),"Sat, 2012-03-17",NA
"Coordinator, Public Sector Partnership",WWF,"Sat, 2012-03-31",HA NOI
Research Manager,VIETSURVEY RESEARCH AND ANALYSIS (VIETSURVEY),"Fri, 2012-03-30",HA NOI
Consultant for Survey Implementation for a Coffee Research,KUIT CONSULTANCY (KC),"Mon, 2012-03-19","DAK LAK , GIA LAI S"
Native English Teachers for Kids Classes in Ho Chi Minh City,WORLD VISION,"Tue, 2012-03-20",HO CHI MINH
Sponsorship Facilitator,WORLD VISION,"Sun, 2012-03-25",NINH THUAN
BOOKKEEPER,IOM,"Thu, 2012-03-22",THANH HOA
Migrant Services Assistant ,ILO,"Mon, 2012-03-26",HO CHI MINH
Senior Project Officer,AGENCE DE MÃƒÂ©DECINE PRÃƒÂ©VENTIVE (AMP),"Mon, 2012-04-09",QUANG NAM
Administrative Secretary,CHF VIETNAM,"Sun, 2012-03-25",HA NOI
Training of Trainer on Policy Advocacy Skills and Methods,NA,"Fri, 2012-03-16",HA NOI
Workshop Facilitator on Policy Advocacy Planning in CIFPEN,CHF VIETNAM,"Fri, 2012-03-16",HA NOI
01 Central Office Programme Facilitator,ACTIONAID,"Thu, 2012-03-22",DAK LAK
02 Individual Consultants to Develop Documents of the Effective Project Intervention Models,Ã‚â‚¬Å’VIETNAM HIV/AIDS PREVENTION PROJECTÃ‚â‚¬ï¿½ FUNDED BY THE WORLD BANK AND DFID,"Fri, 2012-03-16",HA NOI
